Label;Category;Denomination;Content;Rock type;Location;Producer;Amount;Comments;Link
BCS 367;Certified;;Slag;Blast Furnace slag;;Bureau of Analysed Samples, Ltd.;;Samples: 1 large jar, 1 medium jar, 1 small jar;
BCS 368;Certified;;Dolomite;Dolomite;;Bureau of Analysed Samples, Ltd.;;Samples: 1 large jar, 1 medium jar, 1 small jar;
BCS 372;Certified;;;Cement;Portland;Bureau of Analysed Samples, Ltd.;;Samples: 2 small jars;
BCS 375;Certified;;Feldspar;Soda Feldspar;;Bureau of Analysed Samples, Ltd.;;Samples: 1 large jar, 1 small jar;
BCS 376;Certified;;Feldspar;Potash Feldspar;;Bureau of Analysed Samples, Ltd.;;Samples: 1 large jar, 1 small jar;
BCS 388;Certified;;;Zircon;;Bureau of Analysed Samples, Ltd.;;Samples: 1 small jar;
BCS 389;Certified;;;Magnesit;;Bureau of Analysed Samples, Ltd.;;Samples: 1 small jar, high-purity;
BCS 393;Certified;;Limestone;Limestone;;Bureau of Analysed Samples, Ltd.;;Samples: 1 small jar;
BCS 395;Certified;;Bauxite;Bauxite;;Bureau of Analysed Samples, Ltd.;;Samples: 1 small jar;
BCSS-1;Certified;;Aquatic Sediment;Marine Sediment;;;;Samples: 1 small jar;
BE1;Certified;;;Braunkohlenasche;Espenhain;;;Samples: 1 small jar, Ampullennr. 1;
BE-N;Certified;;Basalt;Basalt;Old Volcano near Essey-la-Côte, near Nancy, Meurthe et Moselle, FRA ;"Groupe International de Travail ""Etalons analytiques des mineraux, minerais et roches""";~14g;Samples: 1 small jar;http://www.geostandards.lanl.gov/AllAnalytes/All-BE-N_1.html
BHA-1;Certified;;;Braunerde;Hilbersdorf, A-Horizont;Geostandard Freiberg, Sachsen;;Samples: 1 medium jar, Teilprobe 2 Packung 6;
BHB-1;Certified;;;Braunerde;Hilbersdorf, B-Horizont;Geostandard Freiberg, Sachsen;;Samples: 1 medium jar, Teilprobe 2, Packung 6;
BHVO-1;Certified;;Basalt;Basalt;Pahoehoe lava from the Kilauea Caldera, HI, 1919;United States Geological Survey;;Samples: 1 medium jar, 1 small jar, Split 43 Position 16;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-BHVO-1_1.html
BHVO-2;Certified;;;;;United States Geological Survey;;Samples: 1 small jar;
BIR-1;;Reykjavik dolerites;Basalt;Basalt;12km east of Reykjavik, ISL;United States Geological Survey;0 g;;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-BIR-1_1.html
BIR-1a;Certified;;Basalt;Basalt;Iceland;United States Geological Survey;;Samples: 1 large jar, 732;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-BIR-1_1.html
